node_name_list,init_replicas,target_replicas,scaling_t,cpu_limit,mem_limit,cpu_requests,mem_requests
['kind-control-plane'],5,1,0.14175891876220703,0.1,192,0.1,192
['kind-control-plane'],5,2,0.13181519508361816,0.1,192,0.1,192
['kind-control-plane'],5,3,0.12962603569030762,0.1,192,0.1,192
['kind-control-plane'],5,4,0.125335693359375,0.1,192,0.1,192
['kind-control-plane'],5,5,0.014483928680419922,0.1,192,0.1,192
['kind-control-plane'],0,0,0.15026402473449707,0.2,128,0.2,128
['kind-control-plane'],0,1,3.7040789127349854,0.2,128,0.2,128
['kind-control-plane'],0,2,3.095534086227417,0.2,128,0.2,128
['kind-control-plane'],0,3,4.8370912075042725,0.2,128,0.2,128
['kind-control-plane'],0,4,6.919979095458984,0.2,128,0.2,128
['kind-control-plane'],0,5,6.8756468296051025,0.2,128,0.2,128
['kind-control-plane'],1,0,0.13684797286987305,0.2,128,0.2,128
['kind-control-plane'],1,1,0.024100065231323242,0.2,128,0.2,128
['kind-control-plane'],1,2,1.2677628993988037,0.2,128,0.2,128
['kind-control-plane'],1,3,1.8634963035583496,0.2,128,0.2,128
['kind-control-plane'],1,4,3.8763160705566406,0.2,128,0.2,128
['kind-control-plane'],1,5,5.670795917510986,0.2,128,0.2,128
['kind-control-plane'],2,0,0.12821006774902344,0.2,128,0.2,128
['kind-control-plane'],2,1,0.15027475357055664,0.2,128,0.2,128
['kind-control-plane'],2,2,0.022383689880371094,0.2,128,0.2,128
['kind-control-plane'],2,3,1.2566890716552734,0.2,128,0.2,128
['kind-control-plane'],2,4,1.841139793395996,0.2,128,0.2,128
['kind-control-plane'],2,5,3.6565308570861816,0.2,128,0.2,128
['kind-control-plane'],3,0,0.13376307487487793,0.2,128,0.2,128
['kind-control-plane'],3,1,0.13366985321044922,0.2,128,0.2,128
['kind-control-plane'],3,2,0.1302320957183838,0.2,128,0.2,128
['kind-control-plane'],3,3,0.013476133346557617,0.2,128,0.2,128
['kind-control-plane'],3,4,1.9824988842010498,0.2,128,0.2,128
['kind-control-plane'],3,5,1.8771400451660156,0.2,128,0.2,128
['kind-control-plane'],4,0,0.1398301124572754,0.2,128,0.2,128
['kind-control-plane'],4,1,0.1307849884033203,0.2,128,0.2,128
['kind-control-plane'],4,2,0.13733983039855957,0.2,128,0.2,128
['kind-control-plane'],4,3,0.12530732154846191,0.2,128,0.2,128
['kind-control-plane'],4,4,0.013162612915039062,0.2,128,0.2,128
['kind-control-plane'],4,5,1.7054760456085205,0.2,128,0.2,128
['kind-control-plane'],5,0,0.13142895698547363,0.2,128,0.2,128
['kind-control-plane'],5,1,0.14249491691589355,0.2,128,0.2,128
['kind-control-plane'],5,2,0.13259315490722656,0.2,128,0.2,128
['kind-control-plane'],5,3,0.13918781280517578,0.2,128,0.2,128
['kind-control-plane'],5,4,0.13555312156677246,0.2,128,0.2,128
['kind-control-plane'],5,5,0.0177919864654541,0.2,128,0.2,128
['kind-control-plane'],0,0,0.13888096809387207,0.2,192,0.2,192
['kind-control-plane'],0,1,0.6964678764343262,0.2,192,0.2,192
['kind-control-plane'],0,2,4.569305658340454,0.2,192,0.2,192
['kind-control-plane'],0,3,4.850046157836914,0.2,192,0.2,192
['kind-control-plane'],0,4,6.2364280223846436,0.2,192,0.2,192
['kind-control-plane'],0,5,9.096065044403076,0.2,192,0.2,192
['kind-control-plane'],1,0,0.1338939666748047,0.2,192,0.2,192
['kind-control-plane'],1,1,0.019664764404296875,0.2,192,0.2,192
['kind-control-plane'],1,2,1.8179090023040771,0.2,192,0.2,192
['kind-control-plane'],1,3,2.3067991733551025,0.2,192,0.2,192
['kind-control-plane'],1,4,3.6264262199401855,0.2,192,0.2,192
['kind-control-plane'],1,5,8.272880792617798,0.2,192,0.2,192
['kind-control-plane'],2,0,0.1361980438232422,0.2,192,0.2,192
['kind-control-plane'],2,1,0.13259482383728027,0.2,192,0.2,192
['kind-control-plane'],2,2,0.03061199188232422,0.2,192,0.2,192
['kind-control-plane'],2,3,1.38071608543396,0.2,192,0.2,192
['kind-control-plane'],2,4,1.8467788696289062,0.2,192,0.2,192
['kind-control-plane'],2,5,4.210104942321777,0.2,192,0.2,192
['kind-control-plane'],3,0,0.13283705711364746,0.2,192,0.2,192
['kind-control-plane'],3,1,0.14416003227233887,0.2,192,0.2,192
['kind-control-plane'],3,2,0.13931536674499512,0.2,192,0.2,192
['kind-control-plane'],3,3,0.017453908920288086,0.2,192,0.2,192
['kind-control-plane'],3,4,1.6242172718048096,0.2,192,0.2,192
['kind-control-plane'],3,5,2.0627450942993164,0.2,192,0.2,192
['kind-control-plane'],4,0,0.1389620304107666,0.2,192,0.2,192
['kind-control-plane'],4,1,0.13636398315429688,0.2,192,0.2,192
['kind-control-plane'],4,2,0.13335204124450684,0.2,192,0.2,192
['kind-control-plane'],4,3,0.1414029598236084,0.2,192,0.2,192
['kind-control-plane'],4,4,0.014272928237915039,0.2,192,0.2,192
['kind-control-plane'],4,5,1.6445198059082031,0.2,192,0.2,192
['kind-control-plane'],5,0,0.1428060531616211,0.2,192,0.2,192
['kind-control-plane'],5,1,0.13779401779174805,0.2,192,0.2,192
['kind-control-plane'],5,2,0.13592290878295898,0.2,192,0.2,192
['kind-control-plane'],5,3,0.1375260353088379,0.2,192,0.2,192
['kind-control-plane'],5,4,0.1521320343017578,0.2,192,0.2,192
['kind-control-plane'],5,5,0.02771472930908203,0.2,192,0.2,192
