name,namespace,node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,is_wait_until_no_unavailable,cpu_limit,mem_limit,cpu_requests,mem_requests
busybox,default,['k8s02'],1,0,2,2,2.6007604598999023,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.382840394973755,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,3.0493695735931396,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.482480049133301,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.476006507873535,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.5000898838043213,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.8729100227355957,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.512843608856201,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.489370346069336,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.481599807739258,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.493628978729248,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.450650691986084,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.497649669647217,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,2,2,2.484832763671875,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.613856315612793,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.491147994995117,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.5316734313964844,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.496826410293579,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.6067821979522705,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.584120512008667,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.597080945968628,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,3.2089264392852783,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.6217172145843506,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.521440029144287,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.6934707164764404,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,3.2768197059631348,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,3.0367612838745117,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.5916616916656494,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.4949634075164795,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.6090214252471924,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.506012201309204,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,3.244626045227051,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,3.187854766845703,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,3,3,2.5873894691467285,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.6006996631622314,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.5132946968078613,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,3.523198366165161,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.4991867542266846,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.6092581748962402,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.4985544681549072,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.6383745670318604,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.4769721031188965,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.599005937576294,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.7214152812957764,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,3.202106237411499,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.800370454788208,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,3.1629693508148193,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,3.386197090148926,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.829195261001587,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,3.488844871520996,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.5931737422943115,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,3.6266379356384277,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,2.4908249378204346,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,4,4,3.3650155067443848,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.216655015945435,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.7213728427886963,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.25283408164978,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.2506184577941895,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.491342544555664,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,4.13580584526062,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.647723913192749,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.694761276245117,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.6467502117156982,False,0.1,64,0.1,64
busybox,default,['k8s02'],1,0,5,5,3.7994143962860107,False,0.1,64,0.1,64
